epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.008,1.43656,2.5091,1.75701,0.57992,0.61421,0.62412,0.33423,1.68068,2.2921,2.03516,0.000327778,0.000327778,0.000327778
2,62.1234,1.38564,1.81772,1.69632,0.57932,0.34532,0.3556,0.15232,1.84262,3.38562,2.35175,0.000659475,0.000659475,0.000659475
3,82.539,1.36898,1.7214,1.68497,0.42679,0.44453,0.39668,0.17486,2.24315,2.36628,2.69448,0.000989522,0.000989522,0.000989522
4,103.887,1.38033,1.69128,1.68484,0.23819,0.43491,0.19156,0.09422,1.73685,3.02821,2.11336,0.000992575,0.000992575,0.000992575
5,125.102,1.39762,1.70839,1.71413,0.46773,0.62314,0.5182,0.29976,1.4578,2.14261,1.85042,0.0009901,0.0009901,0.0009901
6,146.671,1.32882,1.61159,1.66778,0.536,0.5731,0.55993,0.3226,1.5975,1.7687,1.97431,0.000987625,0.000987625,0.000987625
7,168.387,1.355,1.59475,1.66698,0.61803,0.4996,0.58955,0.33484,1.57695,1.73396,1.89509,0.00098515,0.00098515,0.00098515
8,189.333,1.33599,1.59277,1.6509,0.43085,0.60828,0.56019,0.31882,1.48809,1.81313,1.81608,0.000982675,0.000982675,0.000982675
9,210.993,1.27793,1.53189,1.62385,0.63532,0.66037,0.71489,0.46587,1.33199,1.33317,1.70631,0.0009802,0.0009802,0.0009802
10,232.652,1.28265,1.47699,1.62516,0.63276,0.67893,0.70578,0.46956,1.19329,1.3379,1.55361,0.000977725,0.000977725,0.000977725
11,253.405,1.23368,1.45299,1.57698,0.72213,0.66517,0.71298,0.46431,1.30997,1.36133,1.6324,0.00097525,0.00097525,0.00097525
12,275.269,1.23536,1.45773,1.57436,0.59997,0.7114,0.68205,0.45353,1.24226,1.47907,1.61327,0.000972775,0.000972775,0.000972775
13,296.304,1.19446,1.43026,1.56668,0.69713,0.75456,0.75966,0.50772,1.21485,1.2114,1.56553,0.0009703,0.0009703,0.0009703
14,318.173,1.25583,1.44846,1.60311,0.74478,0.72289,0.7694,0.56251,1.08071,1.14253,1.44584,0.000967825,0.000967825,0.000967825
15,340.135,1.21034,1.33421,1.5442,0.76996,0.73836,0.76932,0.56505,1.01569,1.12091,1.43147,0.00096535,0.00096535,0.00096535
16,361.161,1.19926,1.34581,1.55806,0.78731,0.7582,0.79807,0.54312,1.13622,1.06091,1.53443,0.000962875,0.000962875,0.000962875
17,383.167,1.20013,1.30619,1.5446,0.74616,0.73918,0.7608,0.53558,1.09026,1.2693,1.46814,0.0009604,0.0009604,0.0009604
18,405.236,1.18126,1.33302,1.51453,0.77756,0.77403,0.81656,0.58623,1.14083,1.08163,1.44589,0.000957925,0.000957925,0.000957925
19,426.158,1.16795,1.29308,1.52839,0.79548,0.78699,0.82701,0.56262,1.23593,1.04695,1.53356,0.00095545,0.00095545,0.00095545
20,447.79,1.16561,1.29759,1.52878,0.69316,0.71534,0.75517,0.54532,1.04496,1.23102,1.47334,0.000952975,0.000952975,0.000952975
